coin,date,price_usd,volume_usd,previous_price,daily_price_change_pct
bonk,2024-11-01,2.0190044992799286e-05,154750092.22773588,,
bonk,2024-11-02,1.92336897071029e-05,167555851.5318886,2.0190044992799286e-05,-4.7367664908001323
bonk,2024-11-03,1.8950399915318549e-05,104010390.56026772,1.92336897071029e-05,-1.4728832382053703
bonk,2024-11-04,1.803832434687152e-05,175022352.35725266,1.8950399915318549e-05,-4.8129621143760293
bonk,2024-11-05,1.7831103834780935e-05,138781129.02599725,1.803832434687152e-05,-1.1487791665445055
bonk,2024-11-06,1.9178607187620934e-05,229536028.64552796,1.7831103834780935e-05,7.557038337758935
bonk,2024-11-07,2.2590875624627892e-05,575030794.73259056,1.9178607187620934e-05,17.792055510733064
bonk,2024-11-08,2.2578147878482232e-05,351707416.593756,2.2590875624627892e-05,-0.056340207246257205
bonk,2024-11-09,2.1960692823218792e-05,304441142.07143331,2.2578147878482232e-05,-2.7347462625661021
bonk,2024-11-10,2.2404383322389775e-05,260636053.62324604,2.1960692823218792e-05,2.0203847972495388
bonk,2024-11-11,2.5324451196177707e-05,1104139619.7772055,2.2404383322389775e-05,13.033466852309067
bonk,2024-11-12,2.6984971857724835e-05,967945641.07532418,2.5324451196177707e-05,6.556985771118133
bonk,2024-11-13,3.8436340572298881e-05,2560482927.2355156,2.6984971857724835e-05,42.436096561264073
bonk,2024-11-14,3.7605351574023729e-05,3081317083.7626319,3.8436340572298881e-05,-2.1619878112799507
bonk,2024-11-15,3.5553963616522022e-05,2238644969.9149771,3.7605351574023729e-05,-5.455042624621341
bonk,2024-11-16,4.5644306598603187e-05,1868643709.7309828,3.5553963616522022e-05,28.380360319073272
bonk,2024-11-17,4.7191238639059356e-05,1850485939.6254196,4.5644306598603187e-05,3.3891018524170287
bonk,2024-11-18,5.13698237079159e-05,3124425683.8260641,4.7191238639059356e-05,8.8545780728840633
bonk,2024-11-19,4.8269688544581114e-05,1792608224.2320113,5.13698237079159e-05,-6.0349344022706148
bonk,2024-11-20,5.2239720725419428e-05,2248976241.7222567,4.8269688544581114e-05,8.2246898634360477
bonk,2024-11-21,5.0290110031706295e-05,3129581650.1610446,5.2239720725419428e-05,-3.7320465474166822
bonk,2024-11-22,5.3687609173033221e-05,2036158819.5668113,5.0290110031706295e-05,6.7557997769042686
bonk,2024-11-23,4.9505404573752993e-05,1146610748.6208458,5.3687609173033221e-05,-7.7898879531050333
bonk,2024-11-24,4.7584606183455446e-05,1442651663.9550736,4.9505404573752993e-05,-3.8799771597380808
bonk,2024-11-25,4.7934106828151914e-05,1248466593.8634114,4.7584606183455446e-05,0.734482583188816
bonk,2024-11-26,4.3447940422359505e-05,1218812876.361979,4.7934106828151914e-05,-9.3590278460298
bonk,2024-11-27,4.2470376490934713e-05,847966031.41265607,4.3447940422359505e-05,-2.249966101780307
bonk,2024-11-28,4.3925966111251482e-05,718256526.242445,4.2470376490934713e-05,3.4273056671100255
bonk,2024-11-29,4.2998265759943461e-05,510669880.10606658,4.3925966111251482e-05,-2.1119634545053145
bonk,2024-11-30,4.6702674752805572e-05,1012049235.5710747,4.2998265759943461e-05,8.61525209770921
bonk,2024-12-01,4.4995167220138404e-05,564149170.25627077,4.6702674752805572e-05,-3.6561236411081421
bonk,2024-12-02,4.62096269709692e-05,760844632.60712075,4.4995167220138404e-05,2.6990893152792679
bonk,2024-12-03,4.2826024391773458e-05,829900208.61806262,4.62096269709692e-05,-7.3222893171621131
bonk,2024-12-04,4.1784808537791175e-05,929911190.3363657,4.2826024391773458e-05,-2.4312689976945263
bonk,2024-12-05,4.2022172599496936e-05,772701741.81729686,4.1784808537791175e-05,0.56806305930798573
bonk,2024-12-06,4.2842758143480057e-05,939560308.07814,4.2022172599496936e-05,1.9527442138794724
bonk,2024-12-07,4.2958005598282876e-05,653118739.36810422,4.2842758143480057e-05,0.2690010162671031
bonk,2024-12-08,4.6829681536961986e-05,907944468.71044207,4.2958005598282876e-05,9.0126994602232422
bonk,2024-12-09,4.5978909088400877e-05,746165613.10404742,4.6829681536961986e-05,-1.816737634420184
bonk,2024-12-10,3.9169794245500224e-05,1267760041.9354615,4.5978909088400877e-05,-14.809213567484122
bonk,2024-12-11,3.5813377346962194e-05,888269139.48648465,3.9169794245500224e-05,-8.568890807803033
bonk,2024-12-12,3.9299872497669393e-05,601569334.35121822,3.5813377346962194e-05,9.7351755377043077
bonk,2024-12-13,3.792982512027304e-05,491605899.74479961,3.9299872497669393e-05,-3.486136952422942
bonk,2024-12-14,3.8655424651367179e-05,424695804.48941517,3.792982512027304e-05,1.91300521105307
bonk,2024-12-15,3.6461044145050824e-05,302283324.89532828,3.8655424651367179e-05,-5.67677247399931
bonk,2024-12-16,3.6802601510954013e-05,320301778.17413175,3.6461044145050824e-05,0.93677340820079547
bonk,2024-12-17,3.6979044725489438e-05,514829290.9047749,3.6802601510954013e-05,0.47943136433686245
bonk,2024-12-18,3.5755853555895451e-05,601104918.09217727,3.6979044725489438e-05,-3.3077954789644668
bonk,2024-12-19,3.1127055700038327e-05,640300041.17162406,3.5755853555895451e-05,-12.945566656998247
bonk,2024-12-20,2.9492433934148296e-05,760948384.11274934,3.1127055700038327e-05,-5.251449997848713
bonk,2024-12-21,3.3468411394427983e-05,934429070.15481758,2.9492433934148296e-05,13.481347348806082
bonk,2024-12-22,2.9992733247688794e-05,523308041.4199242,3.3468411394427983e-05,-10.384951068570409
bonk,2024-12-23,3.120883060344286e-05,412642385.99524778,2.9992733247688794e-05,4.0546399879970192
bonk,2024-12-24,3.2356719539673619e-05,362728626.63059843,3.120883060344286e-05,3.6780901880512205
bonk,2024-12-25,3.3497734474071821e-05,305281807.21339017,3.2356719539673619e-05,3.5263616047330344
bonk,2024-12-26,3.2878631335852872e-05,301216481.57704514,3.3497734474071821e-05,-1.848194058312068
bonk,2024-12-27,3.0369230100434827e-05,300412313.48233253,3.2878631335852872e-05,-7.63231659427879
bonk,2024-12-28,3.1917635273254452e-05,372129509.9070214,3.0369230100434827e-05,5.0985987056598274
bonk,2024-12-29,3.2724601272407996e-05,219923848.99798959,3.1917635273254452e-05,2.5282762718632403
bonk,2024-12-30,3.0839504123829277e-05,165875655.84567317,3.2724601272407996e-05,-5.7604892810967661
bonk,2024-12-31,3.0946844777868343e-05,324621122.86963081,3.0839504123829277e-05,0.34806219194726096
bonk,2025-01-01,3.0627342876814428e-05,263838565.27380028,3.0946844777868343e-05,-1.0324215710753408
bonk,2025-01-02,2.9655032711610296e-05,258937229.91369757,3.0627342876814428e-05,-3.1746474681621568
bonk,2025-01-03,3.1801087916201787e-05,410379200.94023383,2.9655032711610296e-05,7.2367318743549554
bonk,2025-01-04,3.5755531897542482e-05,515493808.83267719,3.1801087916201787e-05,12.434933017892178
bonk,2025-01-05,3.5630933716428471e-05,277378984.9208951,3.5755531897542482e-05,-0.34847245867030424
bonk,2025-01-06,3.4373293077178673e-05,250429990.46396071,3.5630933716428471e-05,-3.5296314412045096
bonk,2025-01-07,3.51281476106659e-05,327103116.93045068,3.4373293077178673e-05,2.1960495079489264
bonk,2025-01-08,3.0914856519926622e-05,323818633.98857909,3.51281476106659e-05,-11.994059969902889
bonk,2025-01-09,2.878642288902843e-05,303067440.90360576,3.0914856519926622e-05,-6.8848245487611388
bonk,2025-01-10,2.7201286708843305e-05,228395742.42982858,2.878642288902843e-05,-5.5065410047501233
bonk,2025-01-11,2.7621512731055755e-05,197577876.68326125,2.7201286708843305e-05,1.5448755300087793
bonk,2025-01-12,2.8111183356900222e-05,126697593.91107893,2.7621512731055755e-05,1.7727871409950486
bonk,2025-01-13,2.7472095615729673e-05,105415586.44822474,2.8111183356900222e-05,-2.2734288096544231
bonk,2025-01-14,2.6249586126291835e-05,223215528.02407739,2.7472095615729673e-05,-4.4500044937884775
bonk,2025-01-15,2.7302597717168783e-05,131310065.06837976,2.6249586126291835e-05,4.0115359755034072
bonk,2025-01-16,2.9252167191598938e-05,188489748.62632856,2.7302597717168783e-05,7.1406006660098882
bonk,2025-01-17,2.8407865968575189e-05,220358365.25363854,2.9252167191598938e-05,-2.8862860570078626
bonk,2025-01-18,3.353379132285315e-05,421894333.94906664,2.8407865968575189e-05,18.044035268077739
bonk,2025-01-19,3.37313537477133e-05,980581728.50618553,3.353379132285315e-05,0.58914431403856815
bonk,2025-01-20,3.2463409672806689e-05,1277496699.7603769,3.37313537477133e-05,-3.7589480825167434
bonk,2025-01-21,3.0095375123276404e-05,1053438616.1253254,3.2463409672806689e-05,-7.2944726798488251
bonk,2025-01-22,3.2946189814062416e-05,926284088.923237,3.0095375123276404e-05,9.4726006208878637
bonk,2025-01-23,3.1957421404744e-05,542236208.17929125,3.2946189814062416e-05,-3.0011616362884617
bonk,2025-01-24,3.1386469864987366e-05,394513831.61277568,3.1957421404744e-05,-1.7866007789723484
bonk,2025-01-25,2.9658479038418006e-05,285106550.633706,3.1386469864987366e-05,-5.505527808646586
bonk,2025-01-26,2.9334319795059781e-05,162601244.2699303,2.9658479038418006e-05,-1.0929732537475236
bonk,2025-01-27,2.7281633752980787e-05,145232058.37692049,2.9334319795059781e-05,-6.9975580017529113
bonk,2025-01-28,2.6132326009866939e-05,354734781.86117351,2.7281633752980787e-05,-4.212752628820386
bonk,2025-01-29,2.29876591423517e-05,191859033.34351644,2.6132326009866939e-05,-12.033627876553689
bonk,2025-01-30,2.4339233634966129e-05,295935547.85020703,2.29876591423517e-05,5.8795655714432078
bonk,2025-01-31,2.4918649600456126e-05,238513993.40752143,2.4339233634966129e-05,2.3805842623475191
bonk,2025-02-01,2.4804145787822148e-05,212727393.86769903,2.4918649600456126e-05,-0.45951050506317559
bonk,2025-02-02,2.2049519608731576e-05,170549230.08102036,2.4804145787822148e-05,-11.105507130356344
bonk,2025-02-03,1.9192622804738309e-05,274359063.8885054,2.2049519608731576e-05,-12.956730371857809
bonk,2025-02-04,1.9973820931223296e-05,581897865.76875937,1.9192622804738309e-05,4.0703041706843912
bonk,2025-02-05,1.8410193413630237e-05,226905016.85364503,1.9973820931223296e-05,-7.8283845788803443
bonk,2025-02-06,1.7624069857109178e-05,137694955.05390045,1.8410193413630237e-05,-4.270045071547381
bonk,2025-02-07,1.6709584395434482e-05,138195952.23726302,1.7624069857109178e-05,-5.1888438316976613
bonk,2025-02-08,1.66794841090568e-05,145748578.7420747,1.6709584395434482e-05,-0.18013785181817385
